,seller_type,year,mileage,name,torque,seats,km_driven,transmission,owner,engine,max_power,fuel
0,Individual,2010,14.0 kmpl,Mahindra Xylo E4 BS IV,260 Nm at 1800-2200 rpm,7.0,168000,Manual,First Owner,2498 CC,112 bhp,Diesel
1,Individual,2017,21.5 kmpl,Tata Nexon 1.5 Revotorq XE,260Nm@ 1500-2750rpm,5.0,25000,Manual,First Owner,1497 CC,108.5 bhp,Diesel
2,Individual,2007,12.9 kmpl,Honda Civic 1.8 S AT,172Nm@ 4300rpm,5.0,218463,Automatic,First Owner,1799 CC,130 bhp,Petrol
3,Individual,2015,25.1 kmpl,Honda City i DTEC VX,200Nm@ 1750rpm,5.0,173000,Manual,First Owner,1498 CC,98.6 bhp,Diesel
4,Individual,2011,16.5 kmpl,Tata Indica Vista Aura 1.2 Safire BSIV,96  Nm at 3000  rpm ,5.0,70000,Manual,Second Owner,1172 CC,65 bhp,Petrol
5,Dealer,2019,16.55 kmpl,Mahindra Thar CRDe,247Nm@ 1800-2000rpm,6.0,12584,Manual,First Owner,2498 CC,105 bhp,Diesel
6,Individual,2011,18.0 kmpl,Chevrolet Spark 1.0 LS,90.3Nm@ 4200rpm,5.0,35000,Manual,First Owner,995 CC,62 bhp,Petrol
7,Individual,2012,18.5 kmpl,Maruti Ritz ZXi,114Nm@ 4000rpm,5.0,70000,Manual,Second Owner,1197 CC,85.80 bhp,Petrol
8,Individual,2011,19.7 kmpl,Maruti Alto LX,62Nm@ 3000rpm,5.0,72000,Manual,Second Owner,796 CC,46.3 bhp,Petrol
9,Individual,2016,19.67 kmpl,Hyundai Creta 1.6 CRDi SX,259.9Nm@ 1900-2750rpm,5.0,58000,Manual,First Owner,1582 CC,126.2 bhp,Diesel
10,Individual,2018,22.0 kmpl,Hyundai Verna CRDi 1.6 AT SX Option,259.87nm@ 1500-3000rpm,5.0,49000,Automatic,First Owner,1582 CC,126.2 bhp,Diesel
11,Dealer,2019,22.37 kmpl,Lexus ES 300h,202Nm@ 3600-5200rpm,5.0,20000,Automatic,First Owner,2487 CC,214.56 bhp,Petrol
12,Dealer,2017,25.8 kmpl,Honda Amaze S i-DTEC,200Nm@ 1750rpm,5.0,24500,Manual,First Owner,1498 CC,98.6 bhp,Diesel
13,Individual,2009,20.36 kmpl,Hyundai i10 Magna,111.7Nm@ 4000rpm,5.0,110000,Manual,First Owner,1197 CC,78.9 bhp,Petrol
14,Individual,2019,18.16 kmpl,Ford Figo 1.2P Titanium MT,112Nm@ 4000rpm,5.0,9500,Manual,First Owner,1196 CC,86.8 bhp,Petrol
15,Individual,2017,9.5 kmpl,Jeep Wrangler 2016-2019 3.6 4X4,347Nm@ 4300rpm,5.0,17000,Automatic,First Owner,3604 CC,280 bhp,Petrol
